slug,category,title,client,impact,image,description,tech,is_featured,stats
erp-modernization,web-dev,Enterprise ERP Modernization,Industrial Logistics Global,40% Efficiency Gain,https://images.unsplash.com/photo-1551288049-bebda4e38f71?auto=format&fit=crop&q=80&w=800,Full ERP re-architecture including HR finance logistics and reporting modules — replacing legacy desktop software.,"{React,Node.js,PostgreSQL,AWS}",TRUE,"[]"
hr-intelligence,ai-ml,Neural-Network HR Intelligence,TalentScale Systems,AI-Driven Decisions,https://images.unsplash.com/photo-1451187580459-43490279c0fa?auto=format&fit=crop&q=80&w=800,"Built a deep learning pipeline that automates candidate screening, predicts attrition, and recommends compensation bands.","{Python,TensorFlow,FastAPI,PostgreSQL}",TRUE,"[]"
lms-ecosystem,web-dev,Custom LMS Ecosystem,EduCore Global,100k+ Active Users,https://images.unsplash.com/photo-1516321318423-f06f85e504b3?auto=format&fit=crop&q=80&w=800,"A video-based learning platform with live classes, assessments, certificate generation, and a full instructor dashboard.","{Next.js,Supabase,Stripe,Vercel}",TRUE,"[]"
sales-analytics,ai-ml,Predictive Sales Analytics Engine,RetailMax Corp,3× Revenue Uplift,https://images.unsplash.com/photo-1543286386-713bdd548da4?auto=format&fit=crop&q=80&w=800,Forecasting engine trained on 5 years of sales data enabling real-time inventory and pricing decisions at scale.,"{Python,scikit-learn,Power BI,Azure}",TRUE,"[]"
brand-identity,graphic-design,Brand Identity & Motion System,NovaSpark Studios,200% Brand Recall,https://images.unsplash.com/photo-1561070791-2526d30994b5?auto=format&fit=crop&q=80&w=800,Complete brand overhaul including logo typography motion identity and a 50-page brand standards guide.,"{Figma,Adobe Illustrator,After Effects,Lottie}",TRUE,"[]"
ecommerce-overhaul,graphic-design,E-Commerce Visual Overhaul,LuxeCart Pakistan,68% Conversion Boost,https://images.unsplash.com/photo-1558655146-9f40138edfeb?auto=format&fit=crop&q=80&w=800,End-to-end redesign of product pages checkout flow and all marketing collateral resulting in record Q4 sales.,"{Figma,Shopify,Canva Pro,Adobe XD}",TRUE,"[]"
cv-qc,ai-ml,Computer Vision Quality Control,PakFab Industries,99.2% Defect Detection,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&q=80&w=800,Real-time visual inspection system deployed on factory floors eliminating manual QC bottlenecks entirely.,"{OpenCV,YOLO v8,Raspberry Pi,Flask}",FALSE,"[]"
support-bot,ai-ml,LLM-Powered Customer Support Bot,FinServe Pakistan,80% Query Resolution,https://images.unsplash.com/photo-1677442135703-1787eea5ce01?auto=format&fit=crop&q=80&w=800,Custom fine-tuned LLM that handles complex financial queries escalates edge cases and learns from feedback loops.,"{GPT-4,LangChain,Supabase,React}",FALSE,"[]"
real-estate-portal,web-dev,Real Estate Investment Portal,PropVault Arabia,12M PKR in Q1 Deals,https://images.unsplash.com/photo-1560518883-ce09059eeffa?auto=format&fit=crop&q=80&w=800,Multi-tenant property listing and investment management platform with live deal tracking and CRM integration.,"{React,Django,Stripe,Google Maps API}",FALSE,"[]"
billing-platform,web-dev,SaaS Billing & Subscription Platform,CloudServ BV,$2M ARR Enabled,https://images.unsplash.com/photo-1460925895917-afdab827c52f?auto=format&fit=crop&q=80&w=800,White-label SaaS billing engine with usage-based pricing dunning management and multi-currency invoicing.,"{Vue.js,Laravel,Stripe,MySQL}",FALSE,"[]"
dashboard-ui,graphic-design,SaaS Dashboard UI System,DataNest Analytics,NPS +42 Points,https://images.unsplash.com/photo-1551650975-87deedd944c3?auto=format&fit=crop&q=80&w=800,Fully tokenized design system with 200+ components dark/light modes and accessibility compliance at WCAG 2.1 AA.,"{Figma,Storybook,Tailwind CSS,React}",FALSE,"[]"
campaign-pack,graphic-design,Social Media & Campaign Pack,ZestFood Franchise,5M+ Organic Impressions,https://images.unsplash.com/photo-1611162617213-7d7a39e9b1d7?auto=format&fit=crop&q=80&w=800,3-month content strategy with 200+ post templates Reels scripts and animated story sets for 6 platforms.,"{Adobe Photoshop,Premiere Pro,CapCut,Canva}",FALSE,"[]"
